baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
AluJb	17.0461731704186	-0.0949236563970939	1.56168885743969	-0.060782694289512	0.95153227279153	0.979959197309427
AluJo	4.6997144572036	-1.01794242326791	1.234758842549	-0.824405858205074	0.409708987325507	0.979959197309427
AluJr	10.0444934626925	1.65040403853811	1.23428367078097	1.33713511537737	0.181178536699735	0.979959197309427
AluSc	3.24040181093172	-2.3353446711251	1.53154491106387	-1.52482937604676	0.127301660783451	0.979959197309427
AluSc5	0.772840760396369	-0.874294758294029	4.88200763901528	-0.179085086083638	0.857870892277822	0.979959197309427
AluSc8	2.25053240899859	-0.242624697668345	1.54094138270267	-0.157452256388107	0.87488843236087	0.979959197309427
AluSg	3.98170347839998	-0.643577734764087	1.23869894016542	-0.519559445718218	0.603370669995899	0.979959197309427
AluSp	3.51717192039552	-0.735850439558962	1.27909179129927	-0.575291347004505	0.565094272632766	0.979959197309427
AluSq	1.84823940245349	2.69961219766243	2.1004492539122	1.28525466284618	0.198703307465376	0.979959197309427
AluSq2	8.43340119503953	1.08311860535954	1.19373627844105	0.907334915525922	0.364229715639854	0.979959197309427
AluSx	18.1610330604344	-0.45983244735596	1.62868305400588	-0.282333905436644	0.777687489837488	0.979959197309427
AluSx1	13.883873244842	-0.144914128940789	1.36203309186277	-0.10639545383042	0.915268599923478	0.979959197309427
AluSx3	2.52632018119554	0.673222549888898	1.46053636335261	0.460941998283111	0.644840218997521	0.979959197309427
AluSz	10.9073886781746	0.436861757994201	1.21091374151451	0.360770336496316	0.718271139520986	0.979959197309427
AluSz6	5.72255521759996	-0.810770382157687	1.18361412742085	-0.68499552630754	0.493346744005577	0.979959197309427
AluY	10.6715311060392	0.248852424596861	1.20492351513104	0.206529643974786	0.83637721130131	0.979959197309427
AluYm1	2.4757269740685	0.054186497217211	1.55998881144883	0.0347351832394783	0.972290905677814	0.979959197309427
Charlie1b	0.498035325466282	-2.36615701334029	4.8903890666233	-0.483838193874841	0.628500706687335	0.979959197309427
Charlie5	7.65036637968055	3.8847866758504	1.52482802885806	2.54768839654641	0.010843928298922	0.742809088476156
ERV3-16A3_LTR	5.11737599738273	0.701265017187368	1.19202841540081	0.588295554138759	0.556333929212373	0.979959197309427
FLAM_A	0.73933699293454	1.0490398035399	4.89553803697151	0.214284884647503	0.830324904586553	0.979959197309427
FLAM_C	1.78600085099414	-0.308158139013785	1.81444114999409	-0.169836392332035	0.865138805730663	0.979959197309427
HAL1	3.99236648546544	-0.275849006954673	1.23154960611061	-0.223985299159681	0.822768742215407	0.979959197309427
HAL1b	0.976709311335362	-3.34035058593318	4.27293777071012	-0.781745666606805	0.434364057993746	0.979959197309427
HERVH-int	0.97867398586908	0.0675882694864806	4.29767951532334	0.015726689076162	0.987452434824649	0.987452434824649
HUERS-P2-int	1.29961086986017	3.85611923397554	3.09677500028727	1.245204844917	0.213056462155575	0.979959197309427
HUERS-P3b-int	0.498035325466282	-2.36615701334029	4.8903890666233	-0.483838193874841	0.628500706687335	0.979959197309427
L1HS	0.799610869860173	3.15263721951635	4.81206237262057	0.655153024917978	0.512369235317741	0.979959197309427
L1M1	0.737372318400822	-2.9342199590213	4.85625732666587	-0.604214266593619	0.545701197032553	0.979959197309427
L1M4	4.87705666718133	0.575998998108468	1.19624081643672	0.481507561181714	0.630155807123077	0.979959197309427
L1M4b	1.52730251846239	0.125912986029031	2.17971728233527	0.0577657419379324	0.953935226565362	0.979959197309427
